Theme;Score
Contraste des textes;100
Balises HTML utilisées aux seules fins de présentation;98
Structuration de l'info. par des titres;83
Compatibilité des scripts avec les technos. d'assistance;80
Structuration des listes;76
Indication des changements de langue;68
Visibilité du focus;63
Contraste des composants interactifs;52
Accessibilité des documents bureautiques;52
Non restitution des images de décoration;50
