Theme;Score
Navigation;17,3
Éléments obligatoires;14,8
Formulaires;12,6
Couleurs;10,3
Présentation de l'info.;8,3
Structure de l'info.;7,8
Images;7,2
Liens;6,5
Scripts;5,3
Multimédia;4,2
Tableaux;2,5
Consultation;2,2
Cadres;0,9
