Theme;Score
Documents bureautiques;31%
Navigation au clavier, menus;29%
Procédures d'authentification;13%
Recherche;9%
Contenus anciens;8%
Liens;6%
Listes et intertitres;5%
Vidéos;5%
Changements de langues;5%
Ordre de tabulation;4%
Composants interactifs;3%
Carrousels;2%
Titres des pages;1%
Formulaires;1%
Validité du code HTML;1%
