Theme;Score
"Éléments obligatoires";19,2
"Présentation de l'info.";14,2
"Structure de l'info.";13,3
Formulaires;11,5
Couleurs;9,1
Images;7,9
Scripts;7,4
Liens;5,2
Navigation;4,7
Consultation;3,0
Tableau;2,1
Multimédia;1,8
Cadres;0,5
