Theme;Score
Mandatory elements;19,3
Presentation of info.;14,1
Information structure;13,5
Forms;11,7
Colours;9
Scripts;7,5
Images;7,4
Links;5,3
Navigation;4,8
Consultation;2,9
Table;2,1
Multimedia;1,9
Frames;0,5
