Theme;Score
Navigation;17,3
Mandatory elements;14,8
Forms;12,6
Colours;10,3
Presentation of the info.;8,3
Information structure;7,8
Images;7,2
Links;6,5
Scripts;5,3
Multimedia;4,2
Tables;2,5
Consultation;2,2
Frames;0,9
