Theme;Score
Text contrast;100
HTML tags used for presentation purposes only;98
Structuring of information using headings;83
Script compatibility with assistive technologies;80
Structuring of lists;76
Indication of language changes;68
Focus visibility;63
Contrast of interactive components;52
Accessibility of office documents;52
Non-rendering of decorative images;50
