Theme;Score
Office documents;31%
Keyboard navigation, menus;29%
Authentication procedures;13%
Search;9%
Legacy content;8%
Links;6%
Lists and headings;5%
Videos;5%
Language changes;5%
Tab order;4%
Interactive components;3%
Carousels;2%
Page titles;1%
Forms;1%
HTML code validity;1%
